Code,Player,Club,Season,Played,(Def) GP,Goals,Assists,Clean Sheets,Goals Against,Points
126,K Schmeichel,Leicester,2015/16,38,38,0,0,15,36,32
127,A McCarthy,Crystal Palace,2015/16,6,6,0,0,0,8,-2
128,B Foster,West Brom,2015/16,15,15,0,0,4,17,6
129,L Fabianski,Swansea,2015/16,37,37,0,1,9,51,6
130,D Ward,Liverpool,2015/16,1,1,0,0,0,3,-2
134,S Mignolet,Liverpool,2015/16,34,34,0,0,11,42,14
135,D De Gea,Man Utd,2015/16,34,34,0,0,15,33,31
139,Adrian,West Ham,2015/16,32,32,0,0,9,39,11
141,J Pickford,Sunderland,2015/16,1,1,0,0,0,2,-1
147,J Hart,Man City,2015/16,35,35,0,0,15,36,29
148,W Hennessey,Crystal Palace,2015/16,29,29,0,0,8,36,9
152,A Begovic,Chelsea,2015/16,15,15,0,0,4,24,-1
202,A Smith,Bournemouth,2015/16,23,23,2,0,6,35,6
203,C Daniels,Bournemouth,2015/16,37,37,3,5,7,63,7
206,N Monreal,Arsenal,2015/16,36,36,0,3,17,34,42
207,K Trippier,Tottenham,2015/16,5,5,1,1,10,53,13
208,N Taylor,Swansea,2015/16,33,33,0,2,8,46,7
216,P Dummett,Newcastle,2015/16,22,22,1,0,6,28,9
217,P van Aanholt,Sunderland,2015/16,33,33,6,3,7,39,10
220,E Pieters,Stoke,2015/16,35,35,0,1,10,45,12
225,S Byram,West Ham,2015/16,3,3,0,0,1,3,2
226,N Clyne,Liverpool,2015/16,33,33,1,1,10,45,13
227,M Targett,Southampton,2015/16,13,13,0,2,7,10,21
228,S Coleman,Everton,2015/16,27,27,1,3,7,34,16
234,C Azpilicueta,Chelsea,2015/16,36,36,2,4,8,50,16
235,P Bardsley,Stoke,2015/16,9,9,0,2,0,18,-5
241,A Cresswell,West Ham,2015/16,37,37,2,4,11,50,23
242,S Francis,Bournemouth,2015/16,38,38,0,4,6,67,-9
243,C Fuchs,Leicester,2015/16,30,30,0,4,15,20,48
244,D Amartey,Leicester,2015/16,1,0,0,0,0,0,0
246,A Young,Man Utd,2015/16,12,0,1,4,0,0,11
248,C Soares,Southampton,2015/16,23,23,0,3,7,19,24
253,P Zabaleta,Man City,2015/16,12,12,0,1,11,30,34
257,R Bertrand,Southampton,2015/16,32,32,1,4,9,33,28
260,D Rose,Tottenham,2015/16,24,24,1,5,8,19,34
263,B Davies,Tottenham,2015/16,14,14,0,2,5,16,12
264,K Walker,Tottenham,2015/16,33,33,1,3,1,24,-7
265,J Holebas,Watford,2015/16,11,11,1,0,1,16,0
268,J Ward,Crystal Palace,2015/16,30,30,2,1,7,49,5
270,M Darmian,Man Utd,2015/16,23,23,1,1,11,18,32
275,L Shaw,Man Utd,2015/16,5,5,0,1,3,3,10
278,H Bellerin,Arsenal,2015/16,36,36,1,5,18,33,52
279,D Janmaat,Newcastle,2015/16,30,30,2,4,4,61,-9
282,L Baines,Everton,2015/16,16,16,2,2,4,26,8
283,D Yedlin,Sunderland,2015/16,20,20,0,2,3,90,-38
302,L Koscielny,Arsenal,2015/16,32,32,4,0,15,31,43
304,J Chester,West Brom,2015/16,13,13,0,0,3,18,1
310,J Tomkins,West Ham,2015/16,24,24,0,0,8,24,16
313,T Klose,Norwich,2015/16,9,9,1,0,2,13,3
314,D Lovren,Liverpool,2015/16,22,22,0,0,8,24,14
315,J Stones,Everton,2015/16,32,32,0,0,8,45,3
321,W Reid,West Ham,2015/16,24,24,1,2,6,38,5
322,P Jones,Man Utd,2015/16,6,6,0,0,2,4,6
326,C Cathcart,Watford,2015/16,34,34,1,1,10,46,13
327,R Bennett,Norwich,2015/16,22,22,0,1,4,32,0
329,C Clark,Aston Villa,2015/16,16,16,1,0,3,31,-6
330,J Lascelles,Newcastle,2015/16,12,12,2,0,3,15,9
331,S Dann,Crystal Palace,2015/16,35,35,5,1,8,44,24
332,J Evans,West Brom,2015/16,29,29,1,1,8,34,16
334,C Chambers,Arsenal,2015/16,4,4,0,0,2,3,5
336,J Gomez,Liverpool,2015/16,5,5,0,1,3,5,8
338,C Dawson,West Brom,2015/16,38,38,4,0,10,48,22
339,N Ake,Watford,2015/16,21,0,1,1,0,0,5
340,P Jagielka,Everton,2015/16,21,21,0,0,7,25,10
341,S Cook,Bournemouth,2015/16,36,36,4,1,7,63,1
342,C Smalling,Man Utd,2015/16,35,35,0,1,17,31,40
344,M Rojo,Man Utd,2015/16,16,16,0,1,6,11,19
349,W Morgan,Leicester,2015/16,38,38,2,0,15,36,38
350,S Prodl,Watford,2015/16,19,19,2,0,5,28,7
352,K Zouma,Chelsea,2015/16,22,22,1,1,8,26,17
354,A Ogbonna,West Ham,2015/16,25,25,0,0,9,32,11
355,T Alderweireld,Tottenham,2015/16,38,38,4,3,13,35,47
356,M Kelly,Crystal Palace,2015/16,12,12,0,0,3,15,3
361,M Sakho,Liverpool,2015/16,20,20,1,0,5,30,3
369,G Cahill,Chelsea,2015/16,21,21,2,1,2,38,-5
371,N Otamendi,Man City,2015/16,30,30,1,0,11,35,20
375,V Van Dijk,Southampton,2015/16,34,34,3,1,10,36,29
376,A Mariappa,Crystal Palace,2015/16,3,3,0,0,0,7,-4
384,T Fosu-Mensah,Man Utd,2015/16,2,0,0,1,0,0,4
388,F Fernandez,Swansea,2015/16,32,32,1,1,8,44,9
392,E Mangala,Man City,2015/16,23,23,0,0,9,23,18
396,J Vertonghen,Tottenham,2015/16,29,29,0,0,9,29,18
397,M Yoshida,Southampton,2015/16,11,11,1,0,4,18,4
401,P Obiang,West Ham,2015/16,13,0,0,1,0,0,2
404,J Grealish,Aston Villa,2015/16,10,0,1,0,0,0,3
407,A Surman,Bournemouth,2015/16,38,0,0,3,0,0,6
408,J Stanislas,Bournemouth,2015/16,18,0,3,2,0,0,13
410,J Milner,Liverpool,2015/16,28,0,5,11,0,0,37
411,J Wilshere,Arsenal,2015/16,2,0,0,0,0,0,0
417,N Redmond,Norwich,2015/16,26,0,6,4,0,0,26
419,D Drinkwater,Leicester,2015/16,34,0,3,8,0,0,25
429,A Tettey,Norwich,2015/16,22,0,2,0,0,0,6
432,A Townsend,Newcastle,2015/16,12,0,4,2,0,0,16
435,J Mata,Man Utd,2015/16,34,0,6,6,0,0,30
441,A Lennon,Everton,2015/16,18,0,5,2,0,0,19
445,R Mahrez,Leicester,2015/16,37,0,17,11,0,0,73
454,C Eriksen,Tottenham,2015/16,34,0,6,16,0,0,50
465,S Mane,Southampton,2015/16,30,0,11,8,0,0,49
466,A Sanchez,Arsenal,2015/16,28,0,13,5,0,0,49
467,E Capoue,Watford,2015/16,32,0,0,1,0,0,2
468,J McArthur,Crystal Palace,2015/16,26,0,2,2,0,0,10
472,M Antonio,West Ham,2015/16,24,0,8,5,0,0,34
475,M Ritchie,Bournemouth,2015/16,34,0,4,8,0,0,28
477,R Sterling,Man City,2015/16,23,0,6,3,0,0,24
478,A Lallana,Liverpool,2015/16,23,0,4,6,0,0,24
480,J Shelvey,Newcastle,2015/16,25,0,1,6,0,0,15
481,H Son,Tottenham,2015/16,13,0,4,1,0,0,14
484,A Martial,Man Utd,2015/16,29,0,11,5,0,0,43
485,A Perez,Newcastle,2015/16,23,0,6,2,0,0,22
488,N Matic,Chelsea,2015/16,29,0,2,3,0,0,12
491,G Wijnaldum,Newcastle,2015/16,37,0,11,6,0,0,45
495,I Gueye,Aston Villa,2015/16,35,0,0,1,0,0,2
497,J McCarthy,Everton,2015/16,28,0,2,2,0,0,10
503,S Ki,Swansea,2015/16,20,0,2,1,0,0,8
505,N Kante,Leicester,2015/16,33,0,1,4,0,0,11
506,T Walcott,Arsenal,2015/16,15,0,5,3,0,0,21
507,J Ibe,Liverpool,2015/16,13,0,1,2,0,0,7
508,J Schlupp,Leicester,2015/16,16,16,1,4,2,24,7
511,J Ward-Prowse,Southampton,2015/16,15,0,2,4,0,0,14
513,F Delph,Man City,2015/16,10,0,2,0,0,0,6
516,R Barkley,Everton,2015/16,36,0,8,9,0,0,42
517,H Arter,Bournemouth,2015/16,21,0,1,0,0,0,3
519,M Sissoko,Newcastle,2015/16,37,0,1,8,0,0,19
521,J Cork,Swansea,2015/16,30,0,1,2,0,0,7
522,J Henderson,Liverpool,2015/16,15,0,2,3,0,0,12
525,M Schneiderlin,Man Utd,2015/16,24,0,1,0,0,0,3
526,V Wanyama,Southampton,2015/16,30,0,1,1,0,0,5
530,K De Bruyne,Man City,2015/16,23,0,7,9,0,0,39
534,J Lingard,Man Utd,2015/16,18,0,4,1,0,0,14
535,M Elneny,Arsenal,2015/16,9,0,0,1,0,0,2
540,A Westwood,Aston Villa,2015/16,30,0,2,2,0,0,10
542,R Brady,Norwich,2015/16,34,0,3,4,0,0,17
551,A Iwobi,Arsenal,2015/16,8,0,2,3,0,0,12
552,D Alli,Tottenham,2015/16,28,0,10,10,0,0,50
553,G Sigurdsson,Swansea,2015/16,33,0,11,4,0,0,41
554,X Shaqiri,Stoke,2015/16,26,0,3,6,0,0,21
556,R Loftus-Cheek,Chelsea,2015/16,4,0,1,1,0,0,5
559,D Gosling,Bournemouth,2015/16,28,0,3,2,0,0,13
565,E Lamela,Tottenham,2015/16,28,0,5,9,0,0,33
568,O Romeu,Southampton,2015/16,16,0,1,0,0,0,3
575,M Ozil,Arsenal,2015/16,35,0,6,19,0,0,56
576,D Silva,Man City,2015/16,22,0,1,12,0,0,27
577,C Kouyate,West Ham,2015/16,34,0,5,3,0,0,21
579,M Noble,West Ham,2015/16,37,0,7,5,0,0,31
580,A Traore,Aston Villa,2015/16,0,0,0,2,0,0,4
582,D Gray,Leicester,2015/16,1,0,0,2,0,0,4
583,M Albrighton,Leicester,2015/16,35,0,2,8,0,0,22
584,E Dier,Tottenham,2015/16,37,37,3,2,12,35,39
586,M Lanzini,West Ham,2015/16,23,0,6,3,0,0,24
594,T Cleverley,Everton,2015/16,18,0,2,5,0,0,16
599,C Sanchez,Aston Villa,2015/16,16,0,0,0,0,0,0
603,H Kane,Tottenham,2015/16,38,0,25,3,0,0,81
607,C Wilson,Bournemouth,2015/16,8,0,5,0,0,0,15
611,O Giroud,Arsenal,2015/16,25,0,16,6,0,0,60
612,C Wickham,Crystal Palace,2015/16,17,0,5,3,0,0,21
613,G Murray,Bournemouth,2015/16,9,0,3,0,0,0,9
614,J Vardy,Leicester,2015/16,36,0,24,9,0,0,90
615,M Arnautovic,Stoke,2015/16,33,0,11,7,0,0,47
617,W Zaha,Crystal Palace,2015/16,30,0,2,5,0,0,16
620,D Origi,Liverpool,2015/16,8,0,5,1,0,0,17
622,G Deulofeu,Everton,2015/16,16,0,2,10,0,0,26
626,J Rodriguez,Southampton,2015/16,4,0,0,0,0,0,0
627,R Firmino,Liverpool,2015/16,24,0,10,9,0,0,48
631,M Rashford,Man Utd,2015/16,11,0,5,2,0,0,19
632,S Long,Southampton,2015/16,24,0,10,4,0,0,38
633,R Lukaku,Everton,2015/16,36,0,18,7,0,0,68
636,C Benteke,Liverpool,2015/16,17,0,9,4,0,0,35
637,J Ayew,Aston Villa,2015/16,27,0,7,0,0,0,21
645,D Gayle,Crystal Palace,2015/16,9,0,3,1,0,0,11
648,D Welbeck,Arsenal,2015/16,6,0,4,3,0,0,18
649,A Carroll,West Ham,2015/16,15,0,9,2,0,0,31
651,T Deeney,Watford,2015/16,37,0,13,9,0,0,57
659,J King,Bournemouth,2015/16,26,0,6,3,0,0,24
667,D Ings,Liverpool,2015/16,4,0,2,0,0,0,6
674,O Niasse,Everton,2015/16,2,0,0,0,0,0,0
684,S Aguero,Man City,2015/16,28,0,24,4,0,0,80
696,K Iheanacho,Man City,2015/16,7,0,8,2,0,0,28
699,C Austin,Southampton,2015/16,2,0,1,0,0,0,3
101,E Martinez,Arsenal,2016/17,2,2,0,0,1,3,1
104,T Heaton,Burnley,2016/17,35,35,0,0,10,48,7
107,S Romero,Man Utd,2016/17,2,2,0,0,2,0,6
110,M Stekelenburg,Everton,2016/17,19,19,0,0,3,24,1
114,H Lloris,Tottenham,2016/17,33,33,0,0,15,24,39
117,F Forster,Southampton,2016/17,38,38,0,0,14,48,18
119,W Caballero,Man City,2016/17,16,16,0,0,6,13,15
126,K Schmeichel,Leicester,2016/17,30,30,0,0,8,47,-1
128,B Foster,West Brom,2016/17,38,38,0,0,6,51,-1
129,L Fabianski,Swansea,2016/17,37,37,0,0,8,69,-16
134,S Mignolet,Liverpool,2016/17,28,28,0,0,9,30,16
135,D De Gea,Man Utd,2016/17,35,35,0,0,14,29,34
139,Adrian,West Ham,2016/17,16,16,0,0,6,25,3
141,J Pickford,Sunderland,2016/17,29,29,0,0,4,50,-13
144,C Bravo,Man City,2016/17,22,22,0,0,6,26,8
148,W Hennessey,Crystal Palace,2016/17,29,29,0,0,7,46,-3
152,A Begovic,Chelsea,2016/17,2,2,0,0,0,5,-3
202,A Smith,Bournemouth,2016/17,34,34,1,5,8,61,2
203,C Daniels,Bournemouth,2016/17,34,34,4,3,10,53,19
204,A Elmohamady,Hull,2016/17,27,0,0,2,0,0,4
206,N Monreal,Arsenal,2016/17,35,35,0,3,11,43,20
207,K Trippier,Tottenham,2016/17,6,6,0,5,3,3,19
217,P Van Aanholt,Crystal Palace,2016/17,27,27,5,1,4,53,-1
220,E Pieters,Stoke,2016/17,35,35,0,2,10,50,9
225,S Byram,West Ham,2016/17,14,14,0,1,3,27,-5
226,N Clyne,Liverpool,2016/17,37,37,0,2,12,41,24
227,M Targett,Southampton,2016/17,4,4,0,0,1,4,2
228,S Coleman,Everton,2016/17,26,26,4,4,10,28,38
230,T A-Arnold,Liverpool,2016/17,2,2,0,0,0,2,0
234,C Azpilicueta,Chelsea,2016/17,38,38,1,5,16,33,50
235,P Bardsley,Stoke,2016/17,14,14,0,0,2,17,1
237,J Manquillo,Sunderland,2016/17,16,16,1,0,2,28,-5
239,A Robertson,Hull,2016/17,31,31,1,2,5,59,-11
241,A Cresswell,West Ham,2016/17,25,25,0,2,4,35,2
242,S Francis,Bournemouth,2016/17,33,33,0,1,10,54,1
243,C Fuchs,Leicester,2016/17,35,35,2,4,8,57,8
244,D Amartey,Leicester,2016/17,17,0,1,1,0,0,5
246,A Young,Man Utd,2016/17,9,0,0,1,0,0,2
248,C Soares,Southampton,2016/17,28,28,0,3,10,36,18
253,P Zabaleta,Man City,2016/17,12,12,1,1,2,18,3
257,R Bertrand,Southampton,2016/17,28,28,2,5,12,36,32
260,D Rose,Tottenham,2016/17,17,17,2,3,7,11,32
263,B Davies,Tottenham,2016/17,19,19,1,4,8,13,33
264,K Walker,Tottenham,2016/17,30,30,0,6,14,21,49
265,J Holebas,Watford,2016/17,33,33,2,4,7,61,0
268,J Ward,Crystal Palace,2016/17,38,38,0,1,7,63,-9
270,M Darmian,Man Utd,2016/17,15,15,0,0,8,8,23
271,B Chilwell,Leicester,2016/17,8,8,1,0,1,19,-6
275,L Shaw,Man Utd,2016/17,8,8,0,2,3,6,12
278,H Bellerin,Arsenal,2016/17,28,28,1,4,10,34,25
279,D Janmaat,Watford,2016/17,19,19,2,2,1,33,-2
282,L Baines,Everton,2016/17,32,32,2,4,11,34,34
286,M Alonso,Chelsea,2016/17,30,30,6,3,15,19,65
298,M Lowton,Burnley,2016/17,36,36,0,3,9,53,7
299,A Masuaku,West Ham,2016/17,11,11,0,1,3,24,-5
302,L Koscielny,Arsenal,2016/17,32,32,2,1,10,37,23
305,J Matip,Liverpool,2016/17,27,27,1,0,9,25,23
308,M Keane,Burnley,2016/17,35,35,2,1,10,49,14
309,B Mee,Burnley,2016/17,34,34,1,2,9,49,10
310,J Tomkins,Crystal Palace,2016/17,23,23,3,0,6,36,8
314,D Lovren,Liverpool,2016/17,29,29,2,1,11,31,28
315,J Stones,Man City,2016/17,22,22,0,0,4,29,1
317,K Long,Burnley,2016/17,3,3,0,0,0,6,-3
321,W Reid,West Ham,2016/17,29,29,2,4,9,48,13
322,P Jones,Man Utd,2016/17,18,18,0,0,5,14,14
325,E Bailly,Man Utd,2016/17,24,24,0,0,12,15,33
326,C Cathcart,Watford,2016/17,13,13,0,1,2,21,-2
331,S Dann,Crystal Palace,2016/17,19,19,3,1,2,36,-2
332,J Evans,West Brom,2016/17,29,29,2,1,4,39,6
334,C Chambers,Middlesbrough,2016/17,25,25,2,1,7,37,10
338,C Dawson,West Brom,2016/17,37,37,4,0,6,50,11
339,N Ake,Chelsea,2016/17,9,9,3,1,3,20,6
340,P Jagielka,Everton,2016/17,25,25,3,2,6,32,18
341,S Cook,Bournemouth,2016/17,38,38,2,1,10,67,-1
342,C Smalling,Man Utd,2016/17,13,13,1,1,4,16,10
344,M Rojo,Man Utd,2016/17,18,18,1,0,8,13,24
347,T Mings,Bournemouth,2016/17,6,6,0,0,0,16,-10
348,C Kabasele,Watford,2016/17,9,9,2,0,1,15,2
349,W Morgan,Leicester,2016/17,27,27,1,1,5,45,-3
350,S Prodl,Watford,2016/17,31,31,1,2,5,49,-1
352,K Zouma,Chelsea,2016/17,3,3,0,1,0,8,-3
354,A Ogbonna,West Ham,2016/17,20,20,0,0,4,31,-3
355,T Alderweireld,Tottenham,2016/17,30,30,1,1,14,17,46
356,M Kelly,Crystal Palace,2016/17,25,25,0,2,2,44,-11
357,J Tarkowski,Burnley,2016/17,6,6,0,0,1,12,-4
358,J Stephens,Southampton,2016/17,16,16,0,1,6,24,6
361,M Sakho,Crystal Palace,2016/17,8,8,0,0,4,6,10
365,R Holding,Arsenal,2016/17,9,9,0,0,4,8,9
366,H Maguire,Hull,2016/17,27,27,2,3,4,53,-6
369,G Cahill,Chelsea,2016/17,37,37,6,0,16,29,58
371,N Otamendi,Man City,2016/17,29,29,1,2,9,28,26
373,S Mustafi,Arsenal,2016/17,25,25,2,2,8,30,21
375,V Van Dijk,Southampton,2016/17,21,21,1,1,7,23,17
376,A Mariappa,Watford,2016/17,6,6,0,0,1,13,-5
378,B Gibson,Middlesbrough,2016/17,38,38,1,1,11,53,12
379,D Luiz,Chelsea,2016/17,33,33,1,0,15,26,40
380,A Tuanzebe,Man Utd,2016/17,4,4,0,0,1,4,2
384,T Fosu-Mensah,Man Utd,2016/17,1,1,0,0,1,0,3
388,F Fernandez,Swansea,2016/17,27,27,0,2,6,41,2
396,J Vertonghen,Tottenham,2016/17,33,33,0,0,13,21,38
397,M Yoshida,Southampton,2016/17,23,23,1,1,7,32,10
401,P Obiang,West Ham,2016/17,21,0,1,1,0,0,5
405,G Xhaka,Arsenal,2016/17,29,0,2,2,0,0,10
407,A Surman,Bournemouth,2016/17,21,0,0,1,0,0,2
408,J Stanislas,Bournemouth,2016/17,18,0,7,6,0,0,33
410,J Milner,Liverpool,2016/17,36,0,7,4,0,0,29
411,J Wilshere,Bournemouth,2016/17,22,0,0,3,0,0,6
417,N Redmond,Southampton,2016/17,35,0,7,2,0,0,25
419,D Drinkwater,Leicester,2016/17,28,0,1,1,0,0,5
426,T Davies,Everton,2016/17,17,0,2,3,0,0,12
432,A Townsend,Crystal Palace,2016/17,31,0,3,7,0,0,23
435,J Mata,Man Utd,2016/17,21,0,6,3,0,0,24
441,A Lennon,Everton,2016/17,6,0,0,1,0,0,2
445,R Mahrez,Leicester,2016/17,33,0,6,4,0,0,26
450,N Mendy,Leicester,2016/17,4,0,0,0,0,0,0
452,I Gundogan,Man City,2016/17,8,0,3,1,0,0,11
453,S McTominay,Man Utd,2016/17,1,0,0,0,0,0,0
454,C Eriksen,Tottenham,2016/17,36,0,8,18,0,0,60
461,J Sims,Southampton,2016/17,1,0,0,1,0,0,2
465,S Mane,Liverpool,2016/17,26,0,13,8,0,0,55
466,A Sanchez,Arsenal,2016/17,37,0,24,11,0,0,94
467,E Capoue,Watford,2016/17,37,0,7,2,0,0,25
468,J McArthur,Crystal Palace,2016/17,24,0,5,3,0,0,21
472,M Antonio,West Ham,2016/17,28,0,9,7,0,0,41
477,R Sterling,Man City,2016/17,29,0,7,15,0,0,51
478,A Lallana,Liverpool,2016/17,27,0,8,7,0,0,38
481,H Son,Tottenham,2016/17,25,0,14,9,0,0,60
484,A Martial,Man Utd,2016/17,18,0,4,6,0,0,24
487,J Gudmundsson,Burnley,2016/17,9,0,1,3,0,0,9
488,N Matic,Chelsea,2016/17,31,0,1,7,0,0,17
491,G Wijnaldum,Liverpool,2016/17,33,0,6,9,0,0,36
493,A Doucoure,Watford,2016/17,16,0,1,0,0,0,3
494,L Sane,Man City,2016/17,20,0,5,6,0,0,27
495,I Gueye,Everton,2016/17,32,0,1,2,0,0,7
496,P Pogba,Man Utd,2016/17,30,0,5,4,0,0,23
497,J McCarthy,Everton,2016/17,7,0,1,1,0,0,5
498,S Defour,Burnley,2016/17,14,0,1,3,0,0,9
499,R Pereyra,Watford,2016/17,12,0,2,3,0,0,12
501,R Fraser,Bournemouth,2016/17,19,0,3,9,0,0,27
503,S Ki,Swansea,2016/17,14,0,0,1,0,0,2
505,N Kante,Chelsea,2016/17,35,0,1,1,0,0,5
506,T Walcott,Arsenal,2016/17,24,0,10,3,0,0,36
507,J Ibe,Bournemouth,2016/17,15,0,0,0,0,0,0
508,J Schlupp,Crystal Palace,2016/17,12,12,0,1,3,17,3
509,A Lookman,Everton,2016/17,4,0,1,0,0,0,3
511,J Ward-Prowse,Southampton,2016/17,22,0,4,4,0,0,20
513,F Delph,Man City,2016/17,2,0,1,0,0,0,3
516,R Barkley,Everton,2016/17,34,0,5,11,0,0,37
517,H Arter,Bournemouth,2016/17,33,0,1,4,0,0,11
518,J Hendrick,Burnley,2016/17,30,0,2,1,0,0,8
519,M Sissoko,Tottenham,2016/17,10,0,0,2,0,0,4
521,J Cork,Swansea,2016/17,25,0,0,0,0,0,0
522,J Henderson,Liverpool,2016/17,24,0,1,4,0,0,11
525,M Schneiderlin,Everton,2016/17,11,0,1,0,0,0,3
526,V Wanyama,Tottenham,2016/17,34,0,4,2,0,0,16
530,K De Bruyne,Man City,2016/17,33,0,6,21,0,0,60
531,H Winks,Tottenham,2016/17,3,0,1,1,0,0,5
532,N Chalobah,Chelsea,2016/17,1,0,0,1,0,0,2
533,W Ndidi,Leicester,2016/17,17,0,2,3,0,0,12
534,J Lingard,Man Utd,2016/17,18,0,1,2,0,0,7
535,M Elneny,Arsenal,2016/17,8,0,0,1,0,0,2
540,A Westwood,Burnley,2016/17,6,0,0,0,0,0,0
541,L Milivojevic,Crystal Palace,2016/17,14,0,2,0,0,0,6
542,R Brady,Burnley,2016/17,7,0,1,2,0,0,7
551,A Iwobi,Arsenal,2016/17,18,0,3,5,0,0,19
552,D Alli,Tottenham,2016/17,35,0,18,10,0,0,74
553,G Sigurdsson,Swansea,2016/17,37,0,9,13,0,0,53
554,X Shaqiri,Stoke,2016/17,20,0,4,3,0,0,18
559,D Gosling,Bournemouth,2016/17,14,0,2,0,0,0,6
565,E Lamela,Tottenham,2016/17,6,0,1,1,0,0,5
568,O Romeu,Southampton,2016/17,34,0,1,1,0,0,5
575,M Ozil,Arsenal,2016/17,32,0,8,10,0,0,44
576,D Silva,Man City,2016/17,32,0,4,9,0,0,30
577,C Kouyate,West Ham,2016/17,31,0,1,1,0,0,5
579,M Noble,West Ham,2016/17,29,0,3,0,0,0,9
580,A Traore,Middlesbrough,2016/17,16,0,0,1,0,0,2
582,D Gray,Leicester,2016/17,11,0,1,4,0,0,11
583,M Albrighton,Leicester,2016/17,30,0,2,7,0,0,20
584,E Dier,Tottenham,2016/17,34,0,2,1,0,0,8
586,M Lanzini,West Ham,2016/17,31,0,8,3,0,0,30
587,H Mkhitaryan,Man Utd,2016/17,15,0,4,1,0,0,14
590,R Snodgrass,West Ham,2016/17,30,0,7,5,0,0,31
594,T Cleverley,Watford,2016/17,20,0,0,2,0,0,4
595,L Cook,Bournemouth,2016/17,5,0,0,2,0,0,4
596,P Hojbjerg,Southampton,2016/17,14,0,0,0,0,0,0
603,H Kane,Tottenham,2016/17,29,0,29,7,0,0,101
604,M Batshuayi,Chelsea,2016/17,1,0,5,1,0,0,17
605,A Barnes,Burnley,2016/17,21,0,6,3,0,0,24
606,A Gray,Burnley,2016/17,27,0,9,3,0,0,33
607,C Wilson,Bournemouth,2016/17,17,0,6,1,0,0,20
610,L Mousset,Bournemouth,2016/17,3,0,0,0,0,0,0
611,O Giroud,Arsenal,2016/17,11,0,12,5,0,0,46
612,C Wickham,Crystal Palace,2016/17,5,0,2,0,0,0,6
614,J Vardy,Leicester,2016/17,33,0,13,6,0,0,51
615,M Arnautovic,Stoke,2016/17,31,0,6,7,0,0,32
617,W Zaha,Crystal Palace,2016/17,34,0,7,11,0,0,43
620,D Origi,Liverpool,2016/17,15,0,7,5,0,0,31
626,J Rodriguez,Southampton,2016/17,9,0,5,2,0,0,19
627,R Firmino,Liverpool,2016/17,35,0,11,11,0,0,55
630,V Janssen,Tottenham,2016/17,8,0,2,4,0,0,14
631,M Rashford,Man Utd,2016/17,17,0,5,2,0,0,19
632,S Long,Southampton,2016/17,12,0,3,2,0,0,13
633,R Lukaku,Everton,2016/17,37,0,25,7,0,0,89
636,C Benteke,Crystal Palace,2016/17,36,0,15,2,0,0,49
637,J Ayew,Swansea,2016/17,10,0,1,3,0,0,9
648,D Welbeck,Arsenal,2016/17,8,0,2,2,0,0,10
649,A Carroll,West Ham,2016/17,15,0,7,3,0,0,27
650,I Success,Watford,2016/17,2,0,1,1,0,0,5
651,T Deeney,Watford,2016/17,32,0,10,5,0,0,40
659,J King,Bournemouth,2016/17,31,0,16,3,0,0,54
674,O Niasse,Hull,2016/17,11,0,4,1,0,0,14
678,G Jesus,Man City,2016/17,7,0,7,4,0,0,29
681,D Calvert-Lewin,Everton,2016/17,4,0,1,0,0,0,3
684,S Aguero,Man City,2016/17,27,0,20,5,0,0,70
696,K Iheanacho,Man City,2016/17,6,0,4,3,0,0,18
699,C Austin,Southampton,2016/17,11,0,6,1,0,0,20
912,S Boufal,Southampton,2016/17,12,0,1,1,0,0,5
104,T Heaton,Burnley,2017/18,3,3,0,0,0,4,-1
106,M Ryan,Bournemouth,2017/18,38,38,0,0,10,54,4
107,S Romero,Man Utd,2017/18,1,1,0,0,1,0,3
108,R Elliot,Newcastle,2017/18,16,16,0,0,3,21,1
109,K Darlow,Newcastle,2017/18,10,10,0,0,2,15,-1
114,H Lloris,Tottenham,2017/18,36,36,0,0,15,35,31
117,F Forster,Southampton,2017/18,20,20,0,0,4,30,-2
119,W Caballero,Chelsea,2017/18,3,3,0,0,1,4,1
126,K Schmeichel,Leicester,2017/18,33,33,0,0,8,47,2
127,A McCarthy,Southampton,2017/18,18,18,0,0,4,26,0
128,B Foster,West Brom,2017/18,37,37,0,0,10,55,2
129,L Fabianski,Swansea,2017/18,38,38,0,0,9,56,0
134,S Mignolet,Liverpool,2017/18,19,19,0,0,7,24,9
135,D De Gea,Man Utd,2017/18,37,37,0,1,18,28,47
139,Adrian,West Ham,2017/18,19,19,0,0,6,29,2
140,N Pope,Burnley,2017/18,35,35,0,0,11,35,22
141,J Pickford,Everton,2017/18,38,38,0,0,10,58,0
143,J Lossl,Huddersfield,2017/18,38,38,0,1,10,58,2
144,C Bravo,Man City,2017/18,3,3,0,0,1,1,4
147,J Hart,West Ham,2017/18,19,19,0,1,4,39,-10
148,W Hennessey,Crystal Palace,2017/18,27,27,0,0,7,41,0
151,P Gazzaniga,Tottenham,2017/18,1,1,0,0,1,0,3
152,A Begovic,Brighton,2017/18,38,38,0,0,6,61,-11
156,M Dubravka,Newcastle,2017/18,12,12,0,0,4,11,9
201,S Kolasinac,Arsenal,2017/18,25,25,2,4,9,30,27
202,A Smith,Bournemouth,2017/18,24,24,1,3,2,38,-1
203,C Daniels,Bournemouth,2017/18,35,35,1,3,6,50,6
205,G Bong,Brighton,2017/18,25,25,0,0,6,36,1
