name,display_name,short_description,long_description,prize_packs,available_new_user,price,private_league,minimum_teams,auction_types,pre_season_auction_budget,pre_season_auction_bid_increment,budget_rollover,seal_bids_budget,seal_bid_increment,seal_bid_minimum,manual_bid,first_seal_bid_deadline,seal_bid_deadline_repeat,max_seal_bids_per_team_per_round,money_back,tie_preference,custom_squad_size,default_squad_size,custom_club_quota,default_max_player_each_club,available_formations,defensive_midfields,merge_defenders,enable_free_agent_transfer,free_agent_transfer_authority,free_agent_transfer_after,season_free_agent_transfer_limit,monthly_free_agent_transfer_limit,enabled_weekend_changes,allow_weekend_changes,allow_custom_cup,allow_fa_cup,allow_champion_league,allow_europa_league,allow_head_to_head,allow_linked_league,digital_prize_type,allow_custom_scoring,max_free_places,allow_process_bids,allow_auction_budget,allow_bid_increment,allow_defensive_midfielders,allow_merge_defenders,allow_weekend_changes_editable,allow_rollover_budget,allow_available_formations,allow_supersubs,allow_seal_bid_deadline_repeat,allow_season_free_agent_transfer_limit,allow_monthly_free_agent_transfer_limit,allow_free_agent_transfer_authority,badge_color,allow_enable_free_agent_transfer,allow_free_agent_transfer_after,allow_seal_bid_minimum,allow_money_back,allow_tie_preference,money_back_types,free_placce_for_new_user,allow_season_budget,allow_max_bids_per_round
Novice 18/19,Novice,Our suggested settings for first-time players,Our suggested settings for first-time players...,"1,2,3",TRUE,0,TRUE,5,"Live offline,Online sealed bids,Live online",200,1,FALSE,50,0.5,0,FALSE,03-08-2018 12:00,Every month,5,None,Lower league position wins,FALSE,15,FALSE,2,"4-4-2,4-5-1,4-3-3,5-3-2,5-4-1",TRUE,TRUE,FALSE,Chairman,Season start,20,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basic,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,FALSE,FALSE,FALSE,FALSE,FALSE,"none,hunderedPercent,fiftyPercent,chairmaneditboughtsoldprice",TRUE,FALSE,FALSE
Social 18/19,Social League,A league with other individual managers,A league with other individual managers.,null,FALSE,10,FALSE,5,"Live offline,Online sealed bids,Live online",200,1,FALSE,50,0.5,0,FALSE,03-08-2018 12:00,Every month,5,None,Lower league position wins,FALSE,15,FALSE,2,"4-4-2,4-5-1,4-3-3,5-3-2,5-4-1",TRUE,TRUE,FALSE,Chairman,Season start,20,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basic,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,gold,TRUE,TRUE,TRUE,TRUE,TRUE,"none,hunderedPercent,fiftyPercent,chairmaneditboughtsoldprice",FALSE,FALSE,FALSE
Pro 18/19,Pro,Customise and add extra features,Customise and add extra features...,"1,2,3",FALSE,20,TRUE,5,"Live offline,Online sealed bids,Live online",200,1,FALSE,50,0.5,0,FALSE,03-08-2018 12:00,Every month,5,None,Lower league position wins,FALSE,15,FALSE,2,"4-4-2,4-5-1,4-3-3,5-3-2,5-4-1",TRUE,FALSE,TRUE,Chairman,Season start,20,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Basic,FALSE,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,silver,TRUE,TRUE,FALSE,FALSE,FALSE,"none,hunderedPercent,fiftyPercent,chairmaneditboughtsoldprice",FALSE,FALSE,FALSE
Legend 18/19,Legend,"Fully customisable, all you can eat","Fully customisable, all you can eat","5,1,4",FALSE,30,TRUE,5,"Live offline,Online sealed bids,Live online",200,1,FALSE,50,0.5,0,FALSE,03-08-2018 12:00,Every month,5,Chairman can edit bought and sold price,Lower league position wins,TRUE,15,TRUE,2,"4-4-2,4-5-1,4-3-3,5-3-2,5-4-1",FALSE,FALSE,TRUE,Chairman,Season start,20,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Basic,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,gold,TRUE,TRUE,TRUE,TRUE,TRUE,"none,hunderedPercent,fiftyPercent,chairmaneditboughtsoldprice",FALSE,TRUE,TRUE
Novice 19/20,Novice,Our suggested settings for first-time players,Our suggested settings for first-time players...,"1,2,3",TRUE,0,TRUE,5,"Live offline,Online sealed bids,Live online",200,1,FALSE,50,0.5,0,FALSE,03-08-2018 12:00,Every month,5,None,Lower league position wins,FALSE,15,FALSE,2,"4-4-2,4-5-1,4-3-3,5-3-2,5-4-1",TRUE,TRUE,FALSE,Chairman,Season start,20,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basic,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,FALSE,FALSE,FALSE,FALSE,FALSE,"none,hunderedPercent,fiftyPercent,chairmaneditboughtsoldprice",TRUE,FALSE,FALSE
Social 19/20,Social League,A league with other individual managers,A league with other individual managers.,null,FALSE,10,FALSE,5,"Live offline,Online sealed bids,Live online",200,1,FALSE,50,0.5,0,FALSE,03-08-2018 12:00,Every month,5,None,Lower league position wins,FALSE,15,FALSE,2,"4-4-2,4-5-1,4-3-3,5-3-2,5-4-1",TRUE,TRUE,FALSE,Chairman,Season start,20,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basic,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,gold,TRUE,TRUE,TRUE,TRUE,TRUE,"none,hunderedPercent,fiftyPercent,chairmaneditboughtsoldprice",FALSE,FALSE,FALSE
Pro 19/20,Pro,Customise and add extra features,Customise and add extra features...,"1,2,3",FALSE,20,TRUE,5,"Live offline,Online sealed bids,Live online",200,1,FALSE,50,0.5,0,FALSE,03-08-2018 12:00,Every month,5,None,Lower league position wins,FALSE,15,FALSE,2,"4-4-2,4-5-1,4-3-3,5-3-2,5-4-1",TRUE,FALSE,TRUE,Chairman,Season start,20,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Basic,FALSE,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,silver,TRUE,TRUE,FALSE,FALSE,FALSE,"none,hunderedPercent,fiftyPercent,chairmaneditboughtsoldprice",FALSE,FALSE,FALSE
Legend 19/20,Legend,"Fully customisable, all you can eat","Fully customisable, all you can eat","5,1,4",FALSE,30,TRUE,5,"Live offline,Online sealed bids,Live online",200,1,FALSE,50,0.5,0,FALSE,03-08-2018 12:00,Every month,5,Chairman can edit bought and sold price,Lower league position wins,TRUE,15,TRUE,2,"4-4-2,4-5-1,4-3-3,5-3-2,5-4-1",FALSE,FALSE,TRUE,Chairman,Season start,20,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Basic,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,gold,TRUE,TRUE,TRUE,TRUE,TRUE,"none,hunderedPercent,fiftyPercent,chairmaneditboughtsoldprice",FALSE,TRUE,TRUE
